year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_son,SAH
2002,0.0,BA_Forest_NonForest,seasonal_son,SAH
2003,0.0,BA_Forest_NonForest,seasonal_son,SAH
2004,0.0,BA_Forest_NonForest,seasonal_son,SAH
2005,0.02,BA_Forest_NonForest,seasonal_son,SAH
2006,0.008,BA_Forest_NonForest,seasonal_son,SAH
2007,0.0,BA_Forest_NonForest,seasonal_son,SAH
2008,0.0,BA_Forest_NonForest,seasonal_son,SAH
2009,0.0,BA_Forest_NonForest,seasonal_son,SAH
2010,0.0,BA_Forest_NonForest,seasonal_son,SAH
2011,0.0,BA_Forest_NonForest,seasonal_son,SAH
2012,0.0,BA_Forest_NonForest,seasonal_son,SAH
2013,0.0,BA_Forest_NonForest,seasonal_son,SAH
2014,0.0,BA_Forest_NonForest,seasonal_son,SAH
2015,0.0,BA_Forest_NonForest,seasonal_son,SAH
2016,0.0,BA_Forest_NonForest,seasonal_son,SAH
2017,0.0,BA_Forest_NonForest,seasonal_son,SAH
2018,0.0,BA_Forest_NonForest,seasonal_son,SAH
2019,0.0,BA_Forest_NonForest,seasonal_son,SAH
2020,0.0,BA_Forest_NonForest,seasonal_son,SAH
2021,0.0,BA_Forest_NonForest,seasonal_son,SAH
2022,0.004,BA_Forest_NonForest,seasonal_son,SAH
2023,0.001,BA_Forest_NonForest,seasonal_son,SAH
2024,0.0,BA_Forest_NonForest,seasonal_son,SAH
